geo_name,geo_sumlevel,geo_id,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017,medicare_beneficiaries_total_2010,medicare_beneficiaries_total_2011,medicare_beneficiaries_total_2012,medicare_beneficiaries_total_2013,medicare_beneficiaries_total_2014,social_associations_2015,social_associations_2016,social_associations_2017,teen_births_2015,teen_births_2016,teen_births_2017,violent_crime_2015,violent_crime_2016,violent_crime_2017
"Autauga County, AL","county",05000US01001,0.313,0.309,0.341,,,,,,13.15,13.757,13.72,36.5,35.2,32.4,253.64,253.64,265.7
"Baldwin County, AL","county",05000US01003,0.25,0.267,0.274,20820,21017,21668,22333,23020,11.636,12.018,11.544,44.5,41.6,38,220.67,220.67,216.77
"Barbour County, AL","county",05000US01005,0.384,0.408,0.444,3166,2920,3010,3094,3132,8.456,8.125,8.182,72.9,67.9,59,146.89,146.89,328.66
"Bibb County, AL","county",05000US01007,0.373,0.401,0.403,1792,1820,1923,1844,1858,10.621,9.773,10.219,50.9,48.4,47.5,235.95,235.95,147.29
"Blount County, AL","county",05000US01009,0.309,0.324,0.346,3677,3726,4722,4351,4515,8.647,8.467,8.489,47.2,45.3,43.2,219.03,219.03,211.6
"Bullock County, AL","county",05000US01011,0.432,0.445,0.43,1017,1055,1094,1075,1111,11.457,10.339,10.219,84.6,83.5,77.8,283.35,283.35,302.29
"Butler County, AL","county",05000US01013,0.384,0.36,0.363,2519,2863,2747,2780,2987,11.819,11.35,11.825,63.3,56.6,55.8,483.04,483.04,523.44
"Calhoun County, AL","county",05000US01015,0.315,0.32,0.322,14495,14972,15437,15679,15735,14.749,14.22,14.666,49.3,47.2,44.6,504.52,504.52,574.32
"Chambers County, AL","county",05000US01017,0.397,0.398,0.397,4628,4541,5055,4838,4943,18.495,18.149,18.488,59.7,60.7,59.9,553.46,553.46,526.86
"Cherokee County, AL","county",05000US01019,0.303,0.327,0.336,2927,2971,3022,3068,3131,9.223,9.541,9.986,51.6,49.8,48.9,374.37,374.37,383.6
"Chilton County, AL","county",05000US01021,0.37,0.371,0.359,3151,3163,3144,3176,3223,15.062,15.017,15.934,58.3,58.2,56.7,407.4,407.4,345.84
"Choctaw County, AL","county",05000US01023,0.402,0.387,0.408,2208,2297,2214,2305,2215,19.071,20.855,21.016,42.3,40.7,38.1,110.94,110.94,111.42
"Clarke County, AL","county",05000US01025,0.352,0.361,0.382,3541,3562,3426,3415,3336,17.885,17.852,19.643,41.9,40.8,40.3,464.12,464.12,439.43
"Clay County, AL","county",05000US01027,0.374,0.377,0.373,1870,1888,1946,1988,2003,8.932,9.64,9.593,52.9,50.3,46.6,313.03,313.03,352.21
"Cleburne County, AL","county",05000US01029,0.304,0.3,0.3,1823,1883,1949,1986,2021,8.765,9.337,8.621,57.4,57.2,54.1,224.33,224.33,149.93
"Coffee County, AL","county",05000US01031,0.285,0.302,0.337,5569,6030,6304,6420,6537,15.804,15.509,15.911,44.7,41.1,37.3,363.9,363.9,321.16
"Colbert County, AL","county",05000US01033,0.339,0.366,0.375,7930,8066,8220,8345,8271,17.999,17.425,17.601,52.3,51.8,47.4,372.9,372.9,449.59
"Conecuh County, AL","county",05000US01035,0.391,0.372,0.364,2001,1815,1861,1883,1903,11.555,10.864,11.05,54.9,52.8,50.7,612.84,612.84,566.46
"Coosa County, AL","county",05000US01037,0.372,0.388,0.397,1403,1448,1493,1540,1555,10.943,11.011,11.023,49.2,48.8,49.6,290.92,290.92,205.85
"Covington County, AL","county",05000US01039,0.323,0.316,0.34,6052,6013,6122,6210,6248,12.383,12.934,12.66,68.6,65.6,63.4,242.18,242.18,273.13
"Crenshaw County, AL","county",05000US01041,0.371,0.366,0.397,1604,1760,1885,1976,1801,11.361,11.44,10.732,53.6,49.5,51.9,441.53,441.53,500.36
"Cullman County, AL","county",05000US01043,0.344,0.347,0.334,9538,9694,10220,10017,10142,12.68,12.622,12.179,56.1,55,52.5,201.19,201.19,169.68
"Dale County, AL","county",05000US01045,0.344,0.362,0.365,4658,5164,5995,5404,5513,12.291,12.629,12.327,48.4,45.5,42.5,395.76,395.76,362.6
"Dallas County, AL","county",05000US01047,0.417,0.424,0.408,4880,4788,4884,4681,4625,13.531,13.573,14.385,71.7,67.8,61.1,781.84,781.84,774.11
"DeKalb County, AL","county",05000US01049,0.321,0.306,0.304,7712,7915,7840,7810,8094,9.426,8.872,8.584,59.1,56.3,53.1,243.43,243.43,331.15
"Elmore County, AL","county",05000US01051,0.301,0.303,0.354,7338,7596,8020,8253,8497,10.046,10.383,10.373,42.1,41.2,39.5,178.73,178.73,275.58
"Escambia County, AL","county",05000US01053,0.383,0.394,0.377,4995,4961,4958,5074,5062,15.002,14.48,14.841,68.4,65.3,63.3,564.87,564.87,483.09
"Etowah County, AL","county",05000US01055,0.338,0.347,0.351,13094,13503,14905,13902,13075,15.806,16.453,16.227,53.7,51.5,49.3,497.87,497.87,544.16
"Fayette County, AL","county",05000US01057,0.363,0.324,0.337,2323,2414,2284,2449,2552,11.776,10.645,11.26,51.8,51.3,46.9,173.68,173.68,178.61
"Franklin County, AL","county",05000US01059,0.335,0.342,0.332,4339,4417,4498,4541,4559,10.075,10.148,10.443,62.5,58.2,55.7,380.02,380.02,345.32
"Geneva County, AL","county",05000US01061,0.345,0.347,0.341,4311,4014,4137,4171,4271,8.912,10.476,9.359,53.8,55.5,53.6,320.11,320.11,342.52
"Greene County, AL","county",05000US01063,0.481,0.459,0.463,1119,1124,1131,1128,1173,9.013,10.293,10.523,51.3,51.8,48.9,1113.41,1113.41,886.36
"Hale County, AL","county",05000US01065,0.362,0.359,0.404,1739,2030,2443,1950,1958,5.199,5.193,6.586,43.6,42.6,43.1,169.64,169.64,193.93
"Henry County, AL","county",05000US01067,0.341,0.352,0.358,2550,2644,2656,2796,2845,17.354,16.189,15.707,46.8,45.4,43.3,318.2,318.2,278.33
"Houston County, AL","county",05000US01069,0.329,0.336,0.328,11945,12377,12198,13001,13375,13.153,12.926,12.957,54.8,51.7,49.3,442.19,442.19,389.83
"Jackson County, AL","county",05000US01071,0.29,0.306,0.32,7233,7574,8042,8085,7875,9.242,9.065,9.114,53.9,54,50.3,273.55,273.55,360.99
"Jefferson County, AL","county",05000US01073,0.329,0.337,0.332,45245,45738,46229,46447,47641,15.03,15.118,14.679,47.2,44.6,41.8,717.4,717.4,796.84
"Lamar County, AL","county",05000US01075,0.328,0.325,0.336,2327,2358,2554,2372,2393,11.221,9.834,9.229,56.4,49.4,46.5,49.74,49.74,162.21
"Lauderdale County, AL","county",05000US01077,0.312,0.316,0.329,12748,12934,13329,13470,13470,15.344,15.087,14.823,34.9,32,29.4,179.56,179.56,268.11
"Lawrence County, AL","county",05000US01079,0.386,0.363,0.355,4883,5051,3724,5282,5312,13.594,14.291,14.338,52.3,50.3,49.7,194.21,194.21,263.93
"Lee County, AL","county",05000US01081,0.3,0.295,0.29,9968,10743,10895,11490,11827,8.692,8.679,8.881,23.9,23.1,21.5,218.24,218.24,274.75
