geo_name,geo_sumlevel,geo_id,alcoholimpaired_driving_deaths_2015,alcoholimpaired_driving_deaths_2016,alcoholimpaired_driving_deaths_2017,income_below_poverty:pop_poverty_status_2013,income_below_poverty:pop_poverty_status_2014,income_below_poverty:pop_poverty_status_2015,income_below_poverty:pop_poverty_status_2016,income_2013,income_2014,income_2015,income_2016,income_below_poverty_2013,income_below_poverty_2014,income_below_poverty_2015,income_below_poverty_2016,pop_poverty_status_2013,pop_poverty_status_2014,pop_poverty_status_2015,pop_poverty_status_2016,unemployment_2015,unemployment_2016,unemployment_2017,uninsured_2015,uninsured_2016,uninsured_2017
"Autauga County, AL","county",05000US01001,0.333,0.318,0.327,0.12133384691575413,0.1280523468343325,0.1287938240286168,0.12266017070222353,53682,52475,51281,53099,6615,7006,7057,6697,54519,54712,54793,54598,0.057,0.059,0.052,0.128,0.134,0.11
"Baldwin County, AL","county",05000US01003,0.303,0.394,0.342,0.1394072269589931,0.1377679764201955,0.13411660731460062,0.1299379576891782,50221,50183,50254,51365,25752,25988,25798,25551,184725,188636,192355,196640,0.058,0.061,0.055,0.158,0.175,0.161
"Barbour County, AL","county",05000US01005,0.435,0.391,0.385,0.2665684227762086,0.24084245302498453,0.26727439227439226,0.26373672856478153,32911,35634,32964,33956,6512,5832,6421,6235,24429,24215,24024,23641,0.1,0.108,0.089,0.175,0.174,0.153
"Bibb County, AL","county",05000US01007,0.31,0.344,0.333,0.18137825136103486,0.1704265402843602,0.16795878075793325,0.16453914478474008,36447,37984,38678,39776,3898,3596,3488,3390,21491,21100,20767,20603,0.068,0.071,0.066,0.151,0.15,0.136
"Blount County, AL","county",05000US01009,0.18,0.192,0.204,0.1581123942033049,0.17283604575793143,0.16720932675139166,0.1653444018284033,44145,44409,45813,46212,9023,9866,9552,9441,57067,57083,57126,57099,0.056,0.061,0.054,0.183,0.176,0.165
"Bullock County, AL","county",05000US01011,0.417,0.44,0.619,0.2158968850698174,0.2053580222594307,0.24618736383442266,0.2686625960212724,32033,34804,31938,29335,2211,2085,2486,2728,10241,10153,10098,10154,0.12,0.091,0.078,0.176,0.185,0.173
"Butler County, AL","county",05000US01013,0.217,0.31,0.367,0.2843919251600197,0.25925376088677754,0.2536473634417169,0.25659508434699907,29918,31571,32229,34315,5776,5239,5094,5126,20310,20208,20083,19977,0.093,0.086,0.075,0.166,0.155,0.144
"Calhoun County, AL","county",05000US01015,0.225,0.25,0.217,0.21863705639015893,0.21716547985039983,0.2053220893998345,0.19642381755257787,39962,40919,41703,41954,25105,24794,23325,22135,114825,114171,113602,112690,0.073,0.079,0.07,0.153,0.16,0.142
"Chambers County, AL","county",05000US01017,0.298,0.333,0.302,0.2410934482246323,0.23923572935548093,0.21589930833852822,0.203116138853237,32402,32835,34177,36027,8114,8051,7273,6805,33655,33653,33687,33503,0.073,0.067,0.06,0.16,0.168,0.149
"Cherokee County, AL","county",05000US01019,0.262,0.2,0.196,0.2119622656280581,0.21014322610941535,0.192297165200391,0.16446102493618692,34907,34983,36296,38925,5415,5370,4918,4188,25547,25554,25575,25465,0.057,0.059,0.054,0.167,0.164,0.146
"Chilton County, AL","county",05000US01021,0.292,0.288,0.293,0.19516874711049467,0.18775698775698776,0.19148837854073286,0.20274358559848502,41250,41785,41627,42594,8443,8128,8288,8779,43260,43290,43282,43301,0.058,0.063,0.057,0.192,0.192,0.177
"Choctaw County, AL","county",05000US01023,0.375,0.4,0.412,0.2149677992449478,0.21459580838323353,0.23428268444175124,0.20953326713008938,33941,34325,33536,32622,2904,2867,3093,2743,13509,13360,13202,13091,0.078,0.091,0.091,0.161,0.159,0.143
"Clarke County, AL","county",05000US01025,0.317,0.333,0.333,0.29327322339542056,0.2701935380678183,0.2474172507393753,0.24635962041884818,29357,30951,32011,32735,7416,6757,6107,6023,25287,25008,24683,24448,0.108,0.125,0.118,0.17,0.157,0.151
"Clay County, AL","county",05000US01027,0.286,0.333,0.375,0.18966547192353644,0.1865974729241877,0.1665027611770936,0.16748054326262782,34002,35286,35327,38815,2540,2481,2201,2195,13392,13296,13219,13106,0.082,0.072,0.062,0.188,0.192,0.178
"Cleburne County, AL","county",05000US01029,0.148,0.304,0.28,0.18449885026376303,0.18148098192608578,0.1697232185152602,0.19618362080673638,38019,37008,38056,36316,2728,2691,2508,2889,14786,14828,14777,14726,0.062,0.067,0.06,0.16,0.167,0.143
"Coffee County, AL","county",05000US01031,0.325,0.325,0.256,0.18550573304684834,0.18781959092361777,0.17082736104475235,0.16354591582927072,43768,45558,46729,47872,9238,9403,8581,8219,49799,50064,50232,50255,0.062,0.067,0.059,0.16,0.168,0.15
"Colbert County, AL","county",05000US01033,0.14,0.073,0.081,0.17894092780064524,0.1826670124865686,0.1742013149365682,0.1652754590984975,39077,39914,40576,43786,9651,9860,9406,8910,53934,53978,53995,53910,0.068,0.082,0.079,0.143,0.145,0.13
"Conecuh County, AL","county",05000US01035,0.172,0.235,0.258,0.32699386503067485,0.3292079207920792,0.3377902885292048,0.3253842497227064,24658,24433,24900,27609,4264,4256,4320,4107,13040,12928,12789,12622,0.103,0.107,0.092,0.182,0.181,0.166
"Coosa County, AL","county",05000US01037,0.478,0.433,0.423,0.2089442815249267,0.19994522048753766,0.1928372093023256,0.15337715537772698,37277,32340,31212,31910,2280,2190,2073,1610,10912,10953,10750,10497,0.081,0.088,0.067,0.167,0.173,0.155
"Covington County, AL","county",05000US01039,0.333,0.326,0.3,0.19995703313819216,0.20087559088955736,0.20218461621243508,0.18994488869677978,35869,36256,36444,37313,7446,7479,7515,7031,37238,37232,37169,37016,0.072,0.078,0.071,0.173,0.169,0.154
"Crenshaw County, AL","county",05000US01041,0.3,0.263,0.278,0.19056274538316126,0.1717532231043776,0.16677600408193016,0.18181818181818182,36275,37349,36022,37557,2621,2358,2288,2484,13754,13729,13719,13662,0.063,0.07,0.06,0.164,0.165,0.163
"Cullman County, AL","county",05000US01043,0.205,0.22,0.256,0.18772831481621444,0.1803696862316382,0.18544157226012392,0.17120535157127525,38847,39415,38971,39297,14903,14354,14814,13718,79386,79581,79885,80126,0.055,0.061,0.053,0.181,0.188,0.164
"Dale County, AL","county",05000US01045,0.4,0.409,0.512,0.17361639162333792,0.18724575748859762,0.19138696939782823,0.20474574868633375,44889,44473,45028,44093,8448,9114,9306,9897,48659,48674,48624,48338,0.071,0.072,0.064,0.147,0.149,0.138
"Dallas County, AL","county",05000US01047,0.588,0.62,0.608,0.35502778233652965,0.3590235355400862,0.35007683442182097,0.3430003667930065,26519,26494,27306,28136,15143,15163,14580,14027,42653,42234,41648,40895,0.127,0.116,0.096,0.145,0.143,0.143
"DeKalb County, AL","county",05000US01049,0.277,0.348,0.333,0.19876183021418914,0.20111890899255483,0.18689075151911885,0.19786614936954414,37851,37977,38192,38248,13966,14128,13133,13872,70265,70247,70271,70108,0.07,0.069,0.06,0.217,0.23,0.209
"Elmore County, AL","county",05000US01051,0.386,0.356,0.425,0.13371216201658948,0.12942133984442755,0.136424243224333,0.14296964208371069,54766,54159,53555,53398,9930,9700,10334,10893,74264,74949,75749,76191,0.06,0.058,0.051,0.132,0.123,0.115
"Escambia County, AL","county",05000US01053,0.39,0.484,0.485,0.2544950428499412,0.2604498908846735,0.24243874964798648,0.2520260697081326,30687,31422,32330,32334,9087,9309,8609,8894,35706,35742,35510,35290,0.08,0.082,0.07,0.196,0.187,0.17
"Etowah County, AL","county",05000US01055,0.301,0.274,0.315,0.19015265240871074,0.19593842186492663,0.1966387871427732,0.18376886741498002,38013,38467,39220,40478,19507,20059,20078,18713,102586,102374,102106,101829,0.065,0.07,0.061,0.167,0.161,0.146
"Fayette County, AL","county",05000US01057,0.154,0.357,0.333,0.19867117517945068,0.20827865919122032,0.18324136276391556,0.1730118443316413,33838,33144,34680,36205,3349,3492,3055,2863,16857,16766,16672,16548,0.073,0.079,0.07,0.154,0.154,0.146
"Franklin County, AL","county",05000US01059,0.25,0.24,0.269,0.21907991554162135,0.24280466379172655,0.22476946721311475,0.2228527459844186,36415,35450,35372,36138,6848,7601,7020,6951,31258,31305,31232,31191,0.077,0.078,0.064,0.201,0.204,0.199
"Geneva County, AL","county",05000US01061,0.25,0.286,0.429,0.21213385946274094,0.22631160873018874,0.23230949412520308,0.2276807696678156,35625,36268,36024,36519,5591,5983,6149,6011,26356,26437,26469,26401,0.065,0.067,0.059,0.19,0.193,0.172
"Greene County, AL","county",05000US01063,0.37,0.323,0.294,0.328759419637836,0.3661714285714286,0.402382604672681,0.3788375908132177,24226,22170,20541,21339,2923,3204,3479,3233,8891,8750,8646,8534,0.101,0.126,0.11,0.16,0.17,0.151
"Hale County, AL","county",05000US01065,0.478,0.478,0.316,0.26582526811404655,0.2791360233220698,0.2679000801496126,0.25911746927261736,30051,30839,32714,33351,4065,4213,4011,3858,15292,15093,14972,14889,0.099,0.098,0.078,0.161,0.161,0.14
"Henry County, AL","county",05000US01067,0.364,0.25,0,0.14355971896955502,0.14809169256023919,0.15622978773446228,0.152809785499025,41650,42926,41997,41045,2452,2526,2657,2586,17080,17057,17007,16923,0.068,0.074,0.068,0.167,0.169,0.151
"Houston County, AL","county",05000US01069,0.274,0.23,0.183,0.18032608588180624,0.18370849884753077,0.1828806680714899,0.18880676845278616,40948,41077,41571,41945,18238,18730,18746,19415,101139,101955,102504,102830,0.062,0.068,0.062,0.164,0.159,0.135
"Jackson County, AL","county",05000US01071,0.243,0.215,0.206,0.1595963051659254,0.18244402913917387,0.17995718490767995,0.18792152643006743,37634,36874,37745,38422,8397,9567,9415,9780,52614,52438,52318,52043,0.063,0.072,0.066,0.171,0.179,0.157
"Jefferson County, AL","county",05000US01073,0.163,0.163,0.145,0.1799281007520407,0.18698099623896827,0.18774694053571067,0.18104171480231177,45429,45239,45610,47220,115966,120510,121029,116750,644513,644504,644639,644879,0.06,0.063,0.058,0.145,0.147,0.126
"Lamar County, AL","county",05000US01075,0.429,0.455,0.333,0.22250298308415806,0.226178677615744,0.2414334665905197,0.23861514150265767,36028,36021,35450,34298,3170,3195,3382,3322,14247,14126,14008,13922,0.069,0.071,0.063,0.169,0.159,0.14
"Lauderdale County, AL","county",05000US01077,0.264,0.282,0.311,0.1719578761647461,0.18668400118991219,0.17915719299794708,0.18278072502210432,42844,42703,43125,43657,15594,16944,16232,16538,90685,90763,90602,90480,0.061,0.072,0.069,0.163,0.15,0.137
"Lawrence County, AL","county",05000US01079,0.269,0.275,0.234,0.17547030069619315,0.17137493295190417,0.18731945113143958,0.182801547014745,38551,40356,40003,42339,5923,5751,6225,6050,33755,33558,33232,33096,0.073,0.082,0.077,0.182,0.182,0.161
