geo_name,geo_sumlevel,geo_id,high_school_graduation_2015,high_school_graduation_2016,high_school_graduation_2017,mean_commute_minutes_2013,mean_commute_minutes_2014,mean_commute_minutes_2015,mean_commute_minutes_2016,motor_vehicle_crash_deaths_2015,motor_vehicle_crash_deaths_2016,motor_vehicle_crash_deaths_2017,population_living_in_a_rural_area_2015,population_living_in_a_rural_area_2016,population_living_in_a_rural_area_2017,severe_housing_problems_2015,severe_housing_problems_2016,severe_housing_problems_2017
"Autauga County, AL","county",05000US01001,0.81,0.83,0.9,25.647,26.3211,26.0002,25.5584,21.25,19.72,18.94,0.42,0.42,0.42,0.123,0.136,0.147
"Baldwin County, AL","county",05000US01003,0.74,0.8,0.85,25.043,25.5477,25.3936,25.8497,16.57,15.9,15.32,0.423,0.423,0.423,0.141,0.147,0.147
"Barbour County, AL","county",05000US01005,0.697,0.805,0.862,24.0734,23.9553,23.6957,23.4419,18.67,18.22,18.96,0.678,0.678,0.678,0.186,0.176,0.162
"Bibb County, AL","county",05000US01007,0.8,0.81,0.85,27.2696,26.6577,28.5487,28.6987,25.87,23.92,22.04,0.684,0.684,0.684,0.096,0.13,0.137
"Blount County, AL","county",05000US01009,0.851,0.85,0.912,33.1703,33.2806,34.0727,34.3258,25.57,24.67,20.82,0.9,0.9,0.9,0.118,0.123,0.115
"Bullock County, AL","county",05000US01011,0.725,0.825,0.875,26.7344,28.1654,26.7399,25.7203,54.19,47.67,46.66,0.514,0.514,0.514,0.134,0.154,0.18
"Butler County, AL","county",05000US01013,0.66,0.68,0.83,23.7269,24.286,24.2045,22.6713,21.32,19.33,20.21,0.712,0.712,0.712,0.178,0.186,0.165
"Calhoun County, AL","county",05000US01015,0.818,0.83,0.922,22.0109,22.3368,23.4281,23.9243,17.54,17.39,15.48,0.337,0.337,0.337,0.145,0.145,0.149
"Chambers County, AL","county",05000US01017,0.759,0.758,0.85,24.0465,24.6638,24.5291,23.9441,28.22,25.4,19.67,0.491,0.491,0.491,0.171,0.175,0.192
"Cherokee County, AL","county",05000US01019,0.74,0.82,0.88,26.2186,26.0465,26.7119,27.0549,24.37,25.92,28.02,0.857,0.857,0.857,0.116,0.13,0.154
"Chilton County, AL","county",05000US01021,0.76,0.74,0.86,31.3201,31.5187,31.3884,31.4055,30.34,26.57,23.15,0.867,0.867,0.867,0.169,0.164,0.156
"Choctaw County, AL","county",05000US01023,0.775,0.775,0.875,33.0609,31.5735,30.4576,31.3215,45.99,44.41,43.16,1,1,1,0.135,0.133,0.13
"Clarke County, AL","county",05000US01025,0.734,0.851,0.929,25.0731,22.8474,22.7529,24.3459,29.09,29.34,34.36,0.76,0.76,0.76,0.152,0.148,0.152
"Clay County, AL","county",05000US01027,0.775,0.875,0.925,29.6317,28.6393,29.6642,30.2072,20.51,19.59,25.04,1,1,1,0.147,0.169,0.155
"Cleburne County, AL","county",05000US01029,0.89,0.925,0.98,30.2851,31.9287,32.1689,32.9964,19.27,24.95,23.89,1,1,1,0.144,0.14,0.138
"Coffee County, AL","county",05000US01031,0.85,0.932,0.962,20.724,20.4509,20.2907,20.5048,21.26,18.1,14.96,0.472,0.472,0.472,0.121,0.128,0.139
"Colbert County, AL","county",05000US01033,0.78,0.839,0.889,22.3197,22.7927,22.4564,23.2019,19.94,20.19,20.46,0.439,0.439,0.439,0.14,0.142,0.147
"Conecuh County, AL","county",05000US01035,0.825,0.875,0.825,27.1281,27.5476,29.2844,28.2694,36.55,35.75,27.53,0.809,0.809,0.809,0.206,0.188,0.202
"Coosa County, AL","county",05000US01037,0.775,0.725,0.825,29.2908,27.8327,28.0213,28.2424,25.31,28.04,33.71,1,1,1,0.159,0.168,0.174
"Covington County, AL","county",05000US01039,0.805,0.833,0.953,22.8009,23.5529,24.9209,25.8297,23.86,20.42,20,0.697,0.697,0.697,0.164,0.165,0.152
"Crenshaw County, AL","county",05000US01041,0.925,0.975,0.925,28.5972,27.3905,26.6673,27.291,31.74,30.68,25.55,1,1,1,0.117,0.125,0.121
"Cullman County, AL","county",05000US01043,0.83,0.864,0.909,25.778,25.6787,25.7318,25.9414,26.04,23.47,22.09,0.732,0.732,0.732,0.14,0.143,0.144
"Dale County, AL","county",05000US01045,0.767,0.821,0.904,20.3466,19.5491,19.9119,19.9167,20.06,18.58,16.59,0.509,0.509,0.509,0.114,0.119,0.13
"Dallas County, AL","county",05000US01047,0.723,0.704,0.901,21.4992,22.1154,23.3759,22.1489,27.4,24.98,25.45,0.456,0.456,0.456,0.235,0.239,0.238
"DeKalb County, AL","county",05000US01049,0.838,0.851,0.918,22.7368,22.5505,22.3584,22.5493,20.5,21.01,19.69,0.901,0.901,0.901,0.144,0.141,0.137
"Elmore County, AL","county",05000US01051,0.745,0.736,0.904,27.4933,27.97,27.9023,27.9312,20.96,19.3,22.42,0.542,0.542,0.542,0.124,0.124,0.121
"Escambia County, AL","county",05000US01053,0.77,0.811,0.841,22.6369,23.1328,22.8631,22.9283,28.19,25.15,23.67,0.635,0.635,0.635,0.143,0.141,0.141
"Etowah County, AL","county",05000US01055,0.765,0.799,0.841,23.1547,22.9532,22.5287,22.8859,19.34,17.14,15.66,0.375,0.375,0.375,0.145,0.141,0.139
"Fayette County, AL","county",05000US01057,0.775,0.775,0.925,26.8628,28.7963,27.8386,28.4208,37.02,29.83,33.54,0.802,0.802,0.802,0.104,0.107,0.116
"Franklin County, AL","county",05000US01059,0.86,0.866,0.928,25.9202,27.3335,28.5529,28.505,27.21,24.89,20.74,0.704,0.704,0.704,0.15,0.145,0.155
"Geneva County, AL","county",05000US01061,0.83,0.858,0.943,24.574,25.4176,24.8757,26.3282,26.82,25.15,24.55,0.896,0.896,0.896,0.144,0.128,0.118
"Greene County, AL","county",05000US01063,0.625,0.725,0.875,27.267,29.6669,29.8048,29.8991,28.07,31.49,37.22,1,1,1,0.186,0.163,0.155
"Hale County, AL","county",05000US01065,0.71,0.78,0.86,26.7674,28.675,29.3975,28.8263,34.92,36.14,24.02,0.892,0.892,0.892,0.18,0.202,0.205
"Henry County, AL","county",05000US01067,0.7,0.775,0.925,25.172,25.0685,26.3444,25.0079,21.59,19.87,17.36,0.878,0.878,0.878,0.128,0.125,0.12
"Houston County, AL","county",05000US01069,0.87,0.884,0.929,20.4765,20.5159,20.9204,21.0832,17.7,16.23,15.84,0.338,0.338,0.338,0.129,0.135,0.138
"Jackson County, AL","county",05000US01071,0.83,0.878,0.915,25.8912,25.356,24.7941,24.8061,31.07,30.04,29.65,0.77,0.77,0.77,0.119,0.097,0.095
"Jefferson County, AL","county",05000US01073,0.744,0.799,0.89,22.8558,22.7956,22.9829,22.958,17.33,16.78,15.88,0.098,0.098,0.098,0.177,0.18,0.18
"Lamar County, AL","county",05000US01075,0.675,0.825,0.875,25.2851,24.2982,25.8504,27.8156,27.36,26.53,25.99,1,1,1,0.116,0.125,0.131
"Lauderdale County, AL","county",05000US01077,0.846,0.903,0.951,23.9902,24.138,24.0159,24.3246,17.54,16.86,16.18,0.493,0.493,0.493,0.149,0.151,0.134
"Lawrence County, AL","county",05000US01079,0.86,0.89,0.92,27.4697,27.1527,27.866,27.4523,27.18,26.39,30.41,0.913,0.913,0.913,0.101,0.103,0.116
"Lee County, AL","county",05000US01081,0.841,0.869,0.897,20.8044,20.9505,21.0238,21.3112,13.36,12.87,11.92,0.274,0.274,0.274,0.192,0.194,0.191
"Limestone County, AL","county",05000US01083,0.862,0.898,0.933,25.7785,25.3237,25.7092,24.9092,20.86,19.45,18.74,0.576,0.576,0.576,0.118,0.121,0.117
"Lowndes County, AL","county",05000US01085,0.675,0.775,0.825,29.2425,29.6137,28.6888,29.7271,42.13,47.93,47.04,1,1,1,0.266,0.248,0.242
"Macon County, AL","county",05000US01087,0.83,0.84,0.89,22.6012,21.2038,21.4544,21.4427,26.64,29.14,21.74,0.555,0.555,0.555,0.207,0.198,0.215
"Madison County, AL","county",05000US01089,0.793,0.865,0.918,20.3562,20.1939,20.2053,20.4016,15.1,13.7,11.92,0.164,0.164,0.164,0.124,0.127,0.123
"Marengo County, AL","county",05000US01091,0.858,0.854,0.971,21.9223,22.9527,21.3868,24.6498,23.71,25.98,25.77,0.693,0.693,0.693,0.144,0.153,0.152
"Marion County, AL","county",05000US01093,0.752,0.755,0.885,23.2397,23.492,23.249,23.8282,26.52,25.17,21.11,0.889,0.889,0.889,0.125,0.116,0.123
"Marshall County, AL","county",05000US01095,0.849,0.879,0.922,23.1213,23.0812,22.8935,23.2484,25.19,25.71,21.87,0.533,0.533,0.533,0.138,0.132,0.136
"Mobile County, AL","county",05000US01097,0.683,0.769,0.864,23.1979,23.3214,23.485,23.6917,21.61,20.27,17.75,0.2,0.2,0.2,0.173,0.178,0.179
"Monroe County, AL","county",05000US01099,0.76,0.79,0.86,23.0238,25.0146,23.9243,24.7844,35.17,31.73,31.11,0.79,0.79,0.79,0.17,0.15,0.162
"Montgomery County, AL","county",05000US01101,0.64,0.64,0.79,18.8454,18.98,18.73,19.332,13.36,12.99,12.26,0.105,0.105,0.105,0.187,0.189,0.188
"Morgan County, AL","county",05000US01103,0.758,0.805,0.912,23.2003,23.3628,23.66,23.8781,21.01,19.22,16.23,0.386,0.386,0.386,0.116,0.125,0.132
"Perry County, AL","county",05000US01105,0.925,0.875,0.975,26.4228,26.3205,26.1736,25.8539,36.48,31.36,40.65,1,1,1,0.211,0.228,0.21
"Pickens County, AL","county",05000US01107,0.81,0.875,0.9,28.4035,30.0562,28.8526,28.4988,27.46,30.51,33.83,1,1,1,0.138,0.153,0.172
"Pike County, AL","county",05000US01109,0.624,0.771,0.875,18.1262,18.4464,18.5929,18.9312,24.69,24.04,22.05,0.517,0.517,0.517,0.187,0.181,0.188
"Randolph County, AL","county",05000US01111,0.769,0.832,0.946,26.0762,26.5946,26.097,25.5341,29.46,32.59,30.78,0.813,0.813,0.813,0.169,0.173,0.188
"Russell County, AL","county",05000US01113,0.657,0.661,0.838,22.9975,23.2645,23.6407,23.7628,28.07,25.03,24.98,0.354,0.354,0.354,0.163,0.161,0.169
"St. Clair County, AL","county",05000US01115,0.771,0.826,0.901,28.9431,29.1728,28.9955,28.7475,26.89,25.38,22.47,0.728,0.728,0.728,0.127,0.122,0.121
"Shelby County, AL","county",05000US01117,0.89,0.91,0.955,27.6758,27.5346,27.0894,26.6744,13.76,12.84,11.24,0.229,0.229,0.229,0.102,0.107,0.109
"Sumter County, AL","county",05000US01119,0.73,0.875,0.925,23.0704,22.3783,23.8043,23.9128,31.16,29.29,31.9,1,1,1,0.244,0.218,0.225
"Talladega County, AL","county",05000US01121,0.781,0.814,0.934,23.3484,23.448,24.1749,24.5096,23.29,25.07,25.71,0.558,0.558,0.558,0.151,0.161,0.163
"Tallapoosa County, AL","county",05000US01123,0.785,0.81,0.865,23.041,23.5788,23.3316,23.703,23.06,20.65,19,0.742,0.742,0.742,0.154,0.165,0.177
"Tuscaloosa County, AL","county",05000US01125,0.729,0.752,0.847,21.2711,21.3699,21.4999,21.4697,17.95,16.22,14.82,0.255,0.255,0.255,0.188,0.182,0.18
"Walker County, AL","county",05000US01127,0.793,0.837,0.906,28.9189,28.9696,29.5812,29.4793,38,34.98,29.09,0.741,0.741,0.741,0.108,0.108,0.113
"Washington County, AL","county",05000US01129,0.85,0.88,0.91,31.37,31.8692,32.1878,32.8414,31.91,29.66,32.49,1,1,1,0.146,0.126,0.111
"Wilcox County, AL","county",05000US01131,0.775,0.775,0.875,20.9859,21.283,21.6088,23.1442,50.58,47.49,50.05,1,1,1,0.173,0.197,0.181
"Winston County, AL","county",05000US01133,0.859,0.892,0.903,26.5143,27.3017,26.4104,27.5015,39.54,39.11,30.04,0.849,0.849,0.849,0.13,0.13,0.126
"Aleutians East Borough, AK","county",05000US02013,,,,4.56279,4.36269,4.80255,4.75386,,,,1,1,1,0.134,0.101,0.103
"Aleutians West Census Area, AK","county",05000US02016,,,,6.03591,6.12526,7.20005,7.6472,,,,1,1,1,0.207,0.217,0.193
"Anchorage Municipality, AK","county",05000US02020,0.73,0.761,0.799,18.6424,18.6903,18.7717,18.3824,7.45,7.08,6.85,0.041,0.041,0.041,0.168,0.162,0.167
"Bethel Census Area, AK","county",05000US02050,0.442,0.36,0.543,7.1198,7.09595,7.08554,7.09204,,,8.16,0.739,0.739,0.739,0.624,0.612,0.616
"Bristol Bay Borough, AK","county",05000US02060,,,,9.89817,10.8015,9.89777,9.08333,,,,1,1,1,0.106,0.107,0.13
"Denali Borough, AK","county",05000US02068,,,,11.9331,12.9331,13.1463,13.187,,,,1,1,1,0.271,0.217,0.252
"Dillingham Census Area, AK","county",05000US02070,,,,7.90407,8.28497,8.12742,7.64675,,,,1,1,1,0.332,0.345,0.358
"Fairbanks North Star Borough, AK","county",05000US02090,0.663,0.692,0.695,18.3092,18.5963,18.5943,18.4181,10.73,10.13,9.98,0.309,0.309,0.309,0.211,0.225,0.232
"Haines Borough, AK","county",05000US02100,,,,10.6538,9.50725,7.55548,7.63587,,,,1,1,1,0.191,0.241,0.229
"Hoonah-Angoon Census Area, AK","county",05000US02105,,,,8.69084,8.69414,8.02581,7.56146,,,,,,,,,
"Juneau City and Borough, AK","county",05000US02110,0.7,0.79,0.77,14.6824,14.405,14.6624,15.1177,5.92,4.97,4.9,0.215,0.215,0.215,0.156,0.151,0.149
"Kenai Peninsula Borough, AK","county",05000US02122,0.79,0.78,0.82,17.6881,18.1976,18.3457,18.1961,17.51,15.49,12.37,0.793,0.793,0.793,0.201,0.207,0.198
"Ketchikan Gateway Borough, AK","county",05000US02130,0.77,0.775,0.77,13.34,12.9474,12.6779,12.7871,,,,0.232,0.232,0.232,0.17,0.16,0.156
"Kodiak Island Borough, AK","county",05000US02150,0.8,0.825,0.9,10.7091,10.4438,10.771,10.3181,,,,0.313,0.313,0.313,0.219,0.197,0.206
"Kusilvak County, AK","county",05000US02158,,,,,,5.58358,5.95543,,,,,,,,,
"Lake and Peninsula Borough, AK","county",05000US02164,,,,5.65109,5.51724,5.81761,6.73175,,,,1,1,1,0.33,0.289,0.304
"Matanuska-Susitna Borough, AK","county",05000US02170,0.72,0.74,0.78,30.82,31.6792,32.1031,31.9672,11.22,11.57,11.28,0.503,0.503,0.503,0.195,0.195,0.203
"Nome Census Area, AK","county",05000US02180,0.605,0.604,0.801,6.30729,6.36612,6.72928,6.88458,18.1,16.43,,0.661,0.661,0.661,0.401,0.424,0.445
"North Slope Borough, AK","county",05000US02185,0.575,0.725,0.725,7.31266,7.34924,7.20485,6.33996,,,,0.593,0.593,0.593,0.366,0.354,0.369
"Northwest Arctic Borough, AK","county",05000US02188,0.525,0.675,0.775,7.04766,7.35557,7.08133,6.60396,,,,0.575,0.575,0.575,0.538,0.555,0.56
"Petersburg Census Area, AK","county",05000US02195,,,,7.10938,7.42424,7.35951,6.8529,,,,,,,,,
"Prince of Wales-Hyder Census Area, AK","county",05000US02198,,,,13.859,13.3843,13.3145,13.0333,,,,,,,,,
,,05000US02201,,,,,,,,,,,1,1,,0.2,0.203,
"Sitka City and Borough, AK","county",05000US02220,0.826,0.77,0.821,11.8462,12.1409,11.2511,10.1837,,,,0.209,0.209,0.209,0.202,0.186,0.184
"Skagway Municipality, AK","county",05000US02230,,,,4.08889,5.15848,5.25542,5.14925,,,,,,,,,
,,05000US02232,,,,,,,,,,,1,1,,0.226,0.233,
"Southeast Fairbanks Census Area, AK","county",05000US02240,0.508,0.533,,10.9459,10.8715,11.0557,11.7766,22.48,22.41,20.4,1,1,1,0.255,0.275,0.312
"Valdez-Cordova Census Area, AK","county",05000US02261,0.872,,0.743,10.9943,8.86762,8.96728,10.4972,,,,1,1,1,0.19,0.182,0.185
"Wade Hampton Census Area, AK","county",05000US02270,0.439,0.49,,5.79523,5.47904,,,,,,1,1,,0.711,0.713,
"Wrangell City and Borough, AK","county",05000US02275,,,,8.94072,6.4257,7.95122,8.68345,,,,,,,,,
,,05000US02280,,,,,,,,,,,1,1,,0.113,0.136,
"Yakutat City and Borough, AK","county",05000US02282,,,,5.01429,4.84507,6.01429,6.64756,,,,1,1,1,0.231,0.212,0.216
"Yukon-Koyukuk Census Area, AK","county",05000US02290,0.526,0.561,0.569,7.83677,8.09254,8.22807,8.60178,,,,1,1,1,0.525,0.519,0.528
"Apache County, AZ","county",05000US04001,0.638,0.663,0.746,28.5141,27.998,27.0272,26.2362,58.35,58.85,60.59,0.741,0.741,0.741,0.357,0.36,0.357
"Cochise County, AZ","county",05000US04003,0.829,0.786,0.826,18.0758,17.9237,18.2747,18.5128,18.87,16.2,13.4,0.363,0.363,0.363,0.148,0.154,0.164
"Coconino County, AZ","county",05000US04005,0.747,0.757,0.806,17.6487,17.2825,17.7458,17.2088,27.33,26.35,24.06,0.315,0.315,0.315,0.257,0.265,0.259
"Gila County, AZ","county",05000US04007,0.694,0.685,0.797,19.8539,19.7009,20.0017,18.6565,26.83,27.33,26.83,0.411,0.411,0.411,0.186,0.186,0.173
"Graham County, AZ","county",05000US04009,0.779,0.767,0.736,21.3195,20.9402,20.537,21.0821,16.48,11.6,9.53,0.464,0.464,0.464,0.173,0.182,0.175
"Greenlee County, AZ","county",05000US04011,0.902,0.932,0.919,17.0756,17.3515,17.8963,17.8999,32.16,34.83,32.05,0.466,0.466,0.466,0.122,0.148,0.164
"La Paz County, AZ","county",05000US04012,0.694,0.709,0.797,11.6802,11.021,10.816,11.3101,42.52,39.8,30.9,0.563,0.563,0.563,0.19,0.178,0.158
"Maricopa County, AZ","county",05000US04013,0.783,0.765,0.78,23.885,23.8782,23.9664,24.0325,11.28,10.09,9.63,0.024,0.024,0.024,0.201,0.2,0.198
"Mohave County, AZ","county",05000US04015,0.757,0.761,0.769,18.2631,18.6631,18.7942,19.2209,19.83,18.46,18.21,0.23,0.23,0.23,0.185,0.187,0.176
"Navajo County, AZ","county",05000US04017,0.777,0.755,0.778,20.7201,21.0897,20.7046,20.4501,38.55,36.33,34.25,0.541,0.541,0.541,0.263,0.267,0.266
