geo_name,geo_sumlevel,geo_id,food_insecurity_2015,food_insecurity_2016,food_insecurity_2017,poor_mental_health_days_2015,poor_mental_health_days_2016,poor_mental_health_days_2017
"Autauga County, AL","county",05000US01001,0.135,0.139,0.144,3.6,4.3,4.2
"Baldwin County, AL","county",05000US01003,0.135,0.137,0.137,3.8,4.2,4
"Barbour County, AL","county",05000US01005,0.227,0.223,0.233,4.3,4.7,4.8
"Bibb County, AL","county",05000US01007,0.154,0.162,0.164,5.1,4.6,4.4
"Blount County, AL","county",05000US01009,0.118,0.121,0.122,3.9,4.5,4.5
"Bullock County, AL","county",05000US01011,0.241,0.237,0.244,,4.8,4.6
"Butler County, AL","county",05000US01013,0.221,0.223,0.226,3.5,5.1,5
"Calhoun County, AL","county",05000US01015,0.172,0.178,0.182,5.1,4.9,4.7
"Chambers County, AL","county",05000US01017,0.205,0.205,0.211,4.3,4.9,4.7
"Cherokee County, AL","county",05000US01019,0.148,0.151,0.146,5.2,4.7,4.5
"Chilton County, AL","county",05000US01021,0.142,0.144,0.141,4.9,4.6,4.5
"Choctaw County, AL","county",05000US01023,0.185,0.189,0.207,4.6,4.8,4.7
"Clarke County, AL","county",05000US01025,0.223,0.232,0.251,3,4.9,4.7
"Clay County, AL","county",05000US01027,0.169,0.168,0.163,5.3,4.8,4.6
"Cleburne County, AL","county",05000US01029,0.138,0.144,0.142,5.2,4.4,4.3
"Coffee County, AL","county",05000US01031,0.15,0.156,0.16,3.6,4.6,4.2
"Colbert County, AL","county",05000US01033,0.156,0.163,0.172,4.8,4.8,4.4
"Conecuh County, AL","county",05000US01035,0.228,0.23,0.245,5.2,5.3,5.1
"Coosa County, AL","county",05000US01037,0.169,0.177,0.189,4.6,4.9,4.6
"Covington County, AL","county",05000US01039,0.16,0.164,0.166,5.2,4.8,4.4
"Crenshaw County, AL","county",05000US01041,0.167,0.172,0.173,3.8,4.7,4.4
"Cullman County, AL","county",05000US01043,0.137,0.139,0.134,4.4,4.7,4.4
"Dale County, AL","county",05000US01045,0.167,0.171,0.175,3.9,4.6,4.7
"Dallas County, AL","county",05000US01047,0.289,0.286,0.303,3.6,5.4,5
"DeKalb County, AL","county",05000US01049,0.141,0.134,0.129,4.9,4.7,4.7
"Elmore County, AL","county",05000US01051,0.141,0.145,0.145,4.4,4.3,4.3
"Escambia County, AL","county",05000US01053,0.196,0.198,0.208,4.7,5,4.8
"Etowah County, AL","county",05000US01055,0.158,0.16,0.165,5,5.1,4.5
"Fayette County, AL","county",05000US01057,0.158,0.165,0.173,5.2,4.7,4.6
"Franklin County, AL","county",05000US01059,0.149,0.149,0.15,4.4,4.8,4.7
"Geneva County, AL","county",05000US01061,0.155,0.16,0.16,3.4,4.8,4.7
"Greene County, AL","county",05000US01063,0.275,0.266,0.313,5.3,5.6,5.3
"Hale County, AL","county",05000US01065,0.229,0.229,0.245,4.1,5.1,4.9
"Henry County, AL","county",05000US01067,0.158,0.159,0.166,3.5,4.4,4.4
"Houston County, AL","county",05000US01069,0.171,0.174,0.182,4.3,4.5,4.5
"Jackson County, AL","county",05000US01071,0.138,0.142,0.147,5.3,4.7,4.5
"Jefferson County, AL","county",05000US01073,0.183,0.184,0.197,3.9,4.5,4
"Lamar County, AL","county",05000US01075,0.162,0.17,0.167,6,4.8,4.7
"Lauderdale County, AL","county",05000US01077,0.151,0.153,0.16,3.6,4.6,4.5
"Lawrence County, AL","county",05000US01079,0.147,0.153,0.154,5.5,4.6,4.6
"Lee County, AL","county",05000US01081,0.174,0.175,0.183,5.2,4.5,4.4
"Limestone County, AL","county",05000US01083,0.131,0.135,0.136,3.1,4.4,4.1
"Lowndes County, AL","county",05000US01085,0.258,0.256,0.288,4.2,5.2,4.8
"Macon County, AL","county",05000US01087,0.26,0.254,0.279,2.9,5.2,4.8
"Madison County, AL","county",05000US01089,0.147,0.148,0.155,3.5,4.3,3.8
"Marengo County, AL","county",05000US01091,0.214,0.213,0.226,4.5,5.1,4.7
"Marion County, AL","county",05000US01093,0.16,0.161,0.155,4.3,4.9,4.7
"Marshall County, AL","county",05000US01095,0.14,0.135,0.133,4.8,4.8,4.6
"Mobile County, AL","county",05000US01097,0.188,0.189,0.197,4.8,5,4.5
"Monroe County, AL","county",05000US01099,0.221,0.229,0.241,5,5.1,5.1
"Montgomery County, AL","county",05000US01101,0.21,0.209,0.227,3.8,4.7,4.5
"Morgan County, AL","county",05000US01103,0.143,0.142,0.142,4,4.5,4.4
"Perry County, AL","county",05000US01105,0.265,0.263,0.3,4.2,5.4,5
"Pickens County, AL","county",05000US01107,0.212,0.211,0.221,3.3,5,4.7
"Pike County, AL","county",05000US01109,0.212,0.212,0.223,3.8,5.1,4.6
"Randolph County, AL","county",05000US01111,0.18,0.181,0.178,4.8,4.7,4.5
"Russell County, AL","county",05000US01113,0.211,0.204,0.212,5,4.9,4.7
"St. Clair County, AL","county",05000US01115,0.129,0.132,0.132,4,4.3,4.3
"Shelby County, AL","county",05000US01117,0.105,0.107,0.105,3.6,3.8,3.7
"Sumter County, AL","county",05000US01119,0.284,0.277,0.287,5.4,5.5,5.3
"Talladega County, AL","county",05000US01121,0.19,0.188,0.198,5.1,4.9,4.7
"Tallapoosa County, AL","county",05000US01123,0.178,0.179,0.188,5.2,4.7,4.6
"Tuscaloosa County, AL","county",05000US01125,0.177,0.175,0.18,4.1,4.5,4.5
"Walker County, AL","county",05000US01127,0.15,0.156,0.163,6.5,5,5
"Washington County, AL","county",05000US01129,0.171,0.173,0.169,3.2,4.6,4.5
"Wilcox County, AL","county",05000US01131,0.295,0.298,0.33,3.6,5.4,5.1
"Winston County, AL","county",05000US01133,0.167,0.169,0.159,6.5,4.9,4.7
"Aleutians East Borough, AK","county",05000US02013,0.187,0.178,0.143,3.8,2.6,2.8
"Aleutians West Census Area, AK","county",05000US02016,0.173,0.164,0.146,2.1,2.5,2.7
"Anchorage Municipality, AK","county",05000US02020,0.125,0.123,0.127,3,2.8,3.3
"Bethel Census Area, AK","county",05000US02050,0.2,0.21,0.218,2.6,4.3,4.6
"Bristol Bay Borough, AK","county",05000US02060,0.117,0.116,0.14,1.3,3,3.4
"Denali Borough, AK","county",05000US02068,0.144,0.143,0.149,2.3,2.7,3.1
"Dillingham Census Area, AK","county",05000US02070,0.167,0.176,0.178,2.3,4,4.2
"Fairbanks North Star Borough, AK","county",05000US02090,0.131,0.132,0.134,3,2.7,3.1
"Haines Borough, AK","county",05000US02100,0.134,0.145,0.153,2,3,3.2
"Juneau City and Borough, AK","county",05000US02110,0.114,0.111,0.113,3,2.8,3.2
"Kenai Peninsula Borough, AK","county",05000US02122,0.129,0.13,0.133,3,2.9,3.3
"Ketchikan Gateway Borough, AK","county",05000US02130,0.141,0.138,0.152,3.2,2.8,3.2
"Kodiak Island Borough, AK","county",05000US02150,0.137,0.134,0.13,2.1,2.6,2.9
"Lake and Peninsula Borough, AK","county",05000US02164,0.169,0.166,0.205,2.6,4,4.3
"Matanuska-Susitna Borough, AK","county",05000US02170,0.123,0.124,0.129,3.3,3,3.3
"Nome Census Area, AK","county",05000US02180,0.203,0.21,0.213,2.4,4.3,4.7
"North Slope Borough, AK","county",05000US02185,0.148,0.14,0.145,1.7,3,3.4
"Northwest Arctic Borough, AK","county",05000US02188,0.203,0.214,0.225,1.8,4.1,4.5
,,05000US02201,0.174,0.176,,2.8,3.6,
"Sitka City and Borough, AK","county",05000US02220,0.129,0.133,0.128,2.5,2.8,3.1
,,05000US02232,0.174,0.178,,1.9,3.2,
"Southeast Fairbanks Census Area, AK","county",05000US02240,0.154,0.164,0.172,2.2,3,3.2
"Valdez-Cordova Census Area, AK","county",05000US02261,0.123,0.129,0.135,3.4,2.8,3.2
"Wade Hampton Census Area, AK","county",05000US02270,0.246,0.258,,3.5,4.9,
,,05000US02280,0.142,0.148,,3.3,3,
"Yakutat City and Borough, AK","county",05000US02282,0.151,0.159,0.165,,3,3.5
"Yukon-Koyukuk Census Area, AK","county",05000US02290,0.197,0.208,0.231,2.5,4.1,4.4
"Apache County, AZ","county",05000US04001,0.257,0.282,0.264,4.3,5.3,5.8
"Cochise County, AZ","county",05000US04003,0.158,0.161,0.161,3.8,3.9,3.7
"Coconino County, AZ","county",05000US04005,0.185,0.201,0.199,3.1,4,4.5
"Gila County, AZ","county",05000US04007,0.171,0.184,0.184,5.5,4.1,4.3
"Graham County, AZ","county",05000US04009,0.164,0.159,0.158,4.3,3.8,4.3
"Greenlee County, AZ","county",05000US04011,0.158,0.144,0.142,3.7,3.5,3.9
"La Paz County, AZ","county",05000US04012,0.168,0.175,0.161,5.2,4,4.3
"Maricopa County, AZ","county",05000US04013,0.157,0.159,0.158,3.2,3.4,3.6
"Mohave County, AZ","county",05000US04015,0.179,0.193,0.192,4.4,4,4.3
"Navajo County, AZ","county",05000US04017,0.224,0.244,0.228,3.7,4.6,5.3
"Pima County, AZ","county",05000US04019,0.16,0.158,0.154,3.5,3.7,3.9
"Pinal County, AZ","county",05000US04021,0.153,0.157,0.153,3.5,3.6,4.1
"Santa Cruz County, AZ","county",05000US04023,0.188,0.154,0.122,2.9,3.8,4.2
"Yavapai County, AZ","county",05000US04025,0.165,0.178,0.17,4.1,3.6,3.9
"Yuma County, AZ","county",05000US04027,0.243,0.223,0.2,3.1,3.9,4.1
"Arkansas County, AR","county",05000US05001,0.194,0.195,0.199,4,4.2,4.4
"Ashley County, AR","county",05000US05003,0.211,0.217,0.214,3,4.5,4.4
"Baxter County, AR","county",05000US05005,0.164,0.174,0.164,4.1,4.2,4
"Benton County, AR","county",05000US05007,0.14,0.139,0.129,3,3.9,3.7
"Boone County, AR","county",05000US05009,0.162,0.175,0.167,4,4.3,4.2
"Bradley County, AR","county",05000US05011,0.218,0.223,0.221,3.7,4.7,4.6
"Calhoun County, AR","county",05000US05013,0.179,0.199,0.195,,4.2,4.3
"Carroll County, AR","county",05000US05015,0.152,0.154,0.146,4.1,4.2,4.2
"Chicot County, AR","county",05000US05017,0.267,0.274,0.285,3.9,4.8,4.6
"Clark County, AR","county",05000US05019,0.217,0.225,0.219,2.6,4.4,4.3
"Clay County, AR","county",05000US05021,0.195,0.205,0.184,3.4,4.4,4.4
"Cleburne County, AR","county",05000US05023,0.159,0.17,0.17,4.5,4.1,4.1
"Cleveland County, AR","county",05000US05025,0.172,0.187,0.183,4.9,4,4.1
"Columbia County, AR","county",05000US05027,0.223,0.235,0.238,4.6,4.4,4.4
"Conway County, AR","county",05000US05029,0.189,0.199,0.191,6.2,4.2,4.2
"Craighead County, AR","county",05000US05031,0.192,0.201,0.197,3.5,4.3,4.2
"Crawford County, AR","county",05000US05033,0.168,0.176,0.161,4.4,4.3,4.3
"Crittenden County, AR","county",05000US05035,0.264,0.27,0.267,4.2,4.6,4.4
"Cross County, AR","county",05000US05037,0.196,0.208,0.211,4.5,4.4,4.4
"Dallas County, AR","county",05000US05039,0.227,0.238,0.238,,4.3,4.3
"Desha County, AR","county",05000US05041,0.264,0.272,0.276,4.2,4.6,4.7
"Drew County, AR","county",05000US05043,0.234,0.249,0.248,4.7,4.6,4.4
"Faulkner County, AR","county",05000US05045,0.171,0.18,0.177,3.5,4,3.9
"Franklin County, AR","county",05000US05047,0.164,0.179,0.166,5,4.4,4.3
"Fulton County, AR","county",05000US05049,0.164,0.175,0.17,3.3,4.2,4.2
"Garland County, AR","county",05000US05051,0.179,0.191,0.187,5.3,4.3,4.3
"Grant County, AR","county",05000US05053,0.136,0.153,0.149,5,4,3.9
"Greene County, AR","county",05000US05055,0.183,0.193,0.178,3.3,4.1,4.2
"Hempstead County, AR","county",05000US05057,0.211,0.212,0.209,3.9,4.6,4.6
"Hot Spring County, AR","county",05000US05059,0.166,0.178,0.174,5.8,4,4.2
"Howard County, AR","county",05000US05061,0.2,0.203,0.193,3.1,4.7,4.5
"Independence County, AR","county",05000US05063,0.187,0.197,0.188,4.4,4.3,4.3
"Izard County, AR","county",05000US05065,0.172,0.185,0.173,6,4.3,4.4
"Jackson County, AR","county",05000US05067,0.213,0.232,0.227,4.7,4.4,4.4
"Jefferson County, AR","county",05000US05069,0.249,0.259,0.271,4.1,4.5,4.5
"Johnson County, AR","county",05000US05071,0.167,0.177,0.167,3.4,4.5,4.4
"Lafayette County, AR","county",05000US05073,0.226,0.238,0.24,5.2,4.5,4.4
"Lawrence County, AR","county",05000US05075,0.193,0.205,0.191,,4.5,4.5
"Lee County, AR","county",05000US05077,0.279,0.288,0.288,4,4.7,4.5
"Lincoln County, AR","county",05000US05079,0.227,0.23,0.229,3,4.4,4.2
"Little River County, AR","county",05000US05081,0.172,0.183,0.185,4,4.2,4.3
"Logan County, AR","county",05000US05083,0.161,0.178,0.167,2.9,4.2,4.3
"Lonoke County, AR","county",05000US05085,0.152,0.162,0.155,3.9,3.9,3.9
"Madison County, AR","county",05000US05087,0.164,0.17,0.157,2.1,4.5,4.4
"Marion County, AR","county",05000US05089,0.163,0.178,0.166,4.2,4.4,4.3
"Miller County, AR","county",05000US05091,0.197,0.205,0.207,4.2,4.3,4.1
"Mississippi County, AR","county",05000US05093,0.238,0.25,0.255,4.8,4.7,4.6
"Monroe County, AR","county",05000US05095,0.24,0.249,0.257,,4.7,4.8
