geo_name,geo_sumlevel,geo_id,pop_2013,pop_2014,pop_2015,pop_2016
"Autauga County, AL","county",05000US01001,54907,55136,55221,55049
"Baldwin County, AL","county",05000US01003,187114,191205,195121,199510
"Barbour County, AL","county",05000US01005,27321,27119,26932,26614
"Bibb County, AL","county",05000US01007,22754,22653,22604,22572
"Blount County, AL","county",05000US01009,57623,57645,57710,57704
"Bullock County, AL","county",05000US01011,10746,10693,10678,10552
"Butler County, AL","county",05000US01013,20624,20523,20354,20280
"Calhoun County, AL","county",05000US01015,117714,117186,116648,115883
"Chambers County, AL","county",05000US01017,34145,34091,34079,34018
"Cherokee County, AL","county",05000US01019,26034,26042,26008,25897
"Chilton County, AL","county",05000US01021,43744,43781,43819,43817
"Choctaw County, AL","county",05000US01023,13687,13546,13395,13287
"Clarke County, AL","county",05000US01025,25573,25331,25070,24847
"Clay County, AL","county",05000US01027,13703,13617,13537,13483
"Cleburne County, AL","county",05000US01029,14945,14990,15002,14991
"Coffee County, AL","county",05000US01031,50468,50726,50884,50991
"Colbert County, AL","county",05000US01033,54456,54491,54444,54377
"Conecuh County, AL","county",05000US01035,13104,12985,12865,12697
"Coosa County, AL","county",05000US01037,11198,11247,11027,10864
"Covington County, AL","county",05000US01039,37847,37881,37886,37729
"Crenshaw County, AL","county",05000US01041,13955,13938,13938,13896
"Cullman County, AL","county",05000US01043,80499,80668,80965,81316
"Dale County, AL","county",05000US01045,50102,50013,49866,49607
"Dallas County, AL","county",05000US01047,43091,42743,42154,41426
"DeKalb County, AL","county",05000US01049,71076,71074,71068,70937
"Elmore County, AL","county",05000US01051,79895,80321,80763,80957
"Escambia County, AL","county",05000US01053,38169,38042,37935,37875
"Etowah County, AL","county",05000US01055,104260,104126,103766,103363
"Fayette County, AL","county",05000US01057,17110,17019,16896,16783
"Franklin County, AL","county",05000US01059,31666,31663,31634,31573
"Geneva County, AL","county",05000US01061,26791,26816,26815,26765
"Greene County, AL","county",05000US01063,8934,8798,8697,8587
"Hale County, AL","county",05000US01065,15594,15393,15256,15159
"Henry County, AL","county",05000US01067,17308,17270,17252,17187
"Houston County, AL","county",05000US01069,102326,103079,103534,103891
"Jackson County, AL","county",05000US01071,53171,53012,52860,52608
"Jefferson County, AL","county",05000US01073,658552,658834,659026,659096
"Lamar County, AL","county",05000US01075,14396,14268,14133,14066
"Lauderdale County, AL","county",05000US01077,92666,92780,92737,92641
"Lawrence County, AL","county",05000US01079,34009,33835,33586,33433
"Lee County, AL","county",05000US01081,144405,147790,150982,153947
"Limestone County, AL","county",05000US01083,85264,87167,88805,90257
"Lowndes County, AL","county",05000US01085,11086,10918,10742,10565
"Macon County, AL","county",05000US01087,20803,20505,20018,19684
"Madison County, AL","county",05000US01089,339279,343229,346438,349973
"Marengo County, AL","county",05000US01091,20669,20489,20306,20066
"Marion County, AL","county",05000US01093,30615,30527,30387,30239
"Marshall County, AL","county",05000US01095,93699,94121,94318,94534
"Mobile County, AL","county",05000US01097,413188,414045,414251,414291
"Monroe County, AL","county",05000US01099,22778,22509,22217,21975
"Montgomery County, AL","county",05000US01101,228980,228850,228138,227392
"Morgan County, AL","county",05000US01103,119673,119744,119786,119555
"Perry County, AL","county",05000US01105,10390,10203,10038,9856
"Pickens County, AL","county",05000US01107,19516,19629,19856,20042
"Pike County, AL","county",05000US01109,32977,33216,33155,33277
"Randolph County, AL","county",05000US01111,22819,22724,22648,22615
"Russell County, AL","county",05000US01113,55544,56980,58302,58636
"St. Clair County, AL","county",05000US01115,84521,85242,85864,86576
"Shelby County, AL","county",05000US01117,198366,201168,203530,205951
"Sumter County, AL","county",05000US01119,13552,13433,13341,13285
"Talladega County, AL","county",05000US01121,81845,81673,81437,81057
"Tallapoosa County, AL","county",05000US01123,41428,41295,41153,40958
"Tuscaloosa County, AL","county",05000US01125,196824,198670,200458,202471
"Walker County, AL","county",05000US01127,66622,66211,65923,65593
"Washington County, AL","county",05000US01129,17284,17137,16997,16909
"Wilcox County, AL","county",05000US01131,11531,11367,11235,11119
"Winston County, AL","county",05000US01133,24342,24256,24130,24013
"Aleutians East Borough, AK","county",05000US02013,3141,3296,3304,3299
"Aleutians West Census Area, AK","county",05000US02016,5538,5650,5684,5714
"Anchorage Municipality, AK","county",05000US02020,295237,298178,299107,299321
"Bethel Census Area, AK","county",05000US02050,17356,17576,17776,17885
"Bristol Bay Borough, AK","county",05000US02060,933,995,970,942
"Denali Borough, AK","county",05000US02068,2020,2048,2060,2125
"Dillingham Census Area, AK","county",05000US02070,4923,4956,4979,4980
"Fairbanks North Star Borough, AK","county",05000US02090,98656,99319,99705,100150
"Haines Borough, AK","county",05000US02100,2546,2557,2560,2528
"Hoonah-Angoon Census Area, AK","county",05000US02105,2141,2126,2128,2107
"Juneau City and Borough, AK","county",05000US02110,31897,32200,32531,32524
"Kenai Peninsula Borough, AK","county",05000US02122,56163,56687,57221,57637
"Ketchikan Gateway Borough, AK","county",05000US02130,13595,13676,13699,13715
"Kodiak Island Borough, AK","county",05000US02150,13850,13924,13973,13918
"Kusilvak County, AK","county",05000US02158,,,7914,7993
"Lake and Peninsula Borough, AK","county",05000US02164,1454,1490,1474,1411
"Matanuska-Susitna Borough, AK","county",05000US02170,91519,93843,96178,98679
"Nome Census Area, AK","county",05000US02180,9695,9792,9854,9879
"North Slope Borough, AK","county",05000US02185,9484,9618,9667,9681
"Northwest Arctic Borough, AK","county",05000US02188,7624,7672,7732,7723
"Petersburg Census Area, AK","county",05000US02195,3806,3212,3221,3196
"Prince of Wales-Hyder Census Area, AK","county",05000US02198,5672,6356,6376,6374
"Sitka City and Borough, AK","county",05000US02220,8945,8957,8943,8921
"Skagway Municipality, AK","county",05000US02230,1080,996,999,1014
"Southeast Fairbanks Census Area, AK","county",05000US02240,7047,7044,7029,6970
"Valdez-Cordova Census Area, AK","county",05000US02261,9682,9685,9617,9522
"Wade Hampton Census Area, AK","county",05000US02270,7678,7778,,
"Wrangell City and Borough, AK","county",05000US02275,2371,2383,2387,2401
"Yakutat City and Borough, AK","county",05000US02282,607,635,643,646
"Yukon-Koyukuk Census Area, AK","county",05000US02290,5656,5651,5644,5600
"Apache County, AZ","county",05000US04001,71978,72142,72124,72346
"Cochise County, AZ","county",05000US04003,131038,130807,129647,128177
"Coconino County, AZ","county",05000US04005,134795,135817,136701,138064
"Gila County, AZ","county",05000US04007,53335,53242,53165,53179
"Graham County, AZ","county",05000US04009,37168,37311,37407,37529
"Greenlee County, AZ","county",05000US04011,8679,8800,9023,9224
"La Paz County, AZ","county",05000US04012,20408,20348,20335,20304
"Maricopa County, AZ","county",05000US04013,3889161,3947382,4018143,4088549
"Mohave County, AZ","county",05000US04015,201680,202482,203362,203629
"Navajo County, AZ","county",05000US04017,107326,107489,107656,108209
"Pima County, AZ","county",05000US04019,986891,993144,998537,1003338
"Pinal County, AZ","county",05000US04021,379128,390160,389772,397604
"Santa Cruz County, AZ","county",05000US04023,47122,47250,47073,46547
"Yavapai County, AZ","county",05000US04025,211968,213689,215996,218586
"Yuma County, AZ","county",05000US04027,199026,201453,202987,203292
"Arkansas County, AR","county",05000US05001,18957,18861,18731,18569
"Ashley County, AR","county",05000US05003,21645,21437,21229,20989
"Baxter County, AR","county",05000US05005,41281,41154,41040,40992
"Benton County, AR","county",05000US05007,227439,232611,238198,245231
"Boone County, AR","county",05000US05009,37099,37169,37227,37301
"Bradley County, AR","county",05000US05011,11418,11316,11206,11096
"Calhoun County, AR","county",05000US05013,5319,5266,5245,5210
"Carroll County, AR","county",05000US05015,27531,27626,27635,27690
"Chicot County, AR","county",05000US05017,11621,11489,11353,11189
"Clark County, AR","county",05000US05019,22912,22800,22751,22684
"Clay County, AR","county",05000US05021,15790,15577,15400,15202
"Cleburne County, AR","county",05000US05023,25856,25793,25711,25587
"Cleveland County, AR","county",05000US05025,8648,8597,8510,8421
"Columbia County, AR","county",05000US05027,24512,24400,24327,24168
"Conway County, AR","county",05000US05029,21235,21175,21110,21060
"Craighead County, AR","county",05000US05031,98398,99835,101409,102884
"Crawford County, AR","county",05000US05033,61796,61825,61748,61927
"Crittenden County, AR","county",05000US05035,50447,50172,49765,49511
"Cross County, AR","county",05000US05037,17760,17595,17467,17329
"Dallas County, AR","county",05000US05039,8045,7954,7868,7738
"Desha County, AR","county",05000US05041,12774,12602,12379,12234
"Drew County, AR","county",05000US05043,18686,18705,18740,18688
"Faulkner County, AR","county",05000US05045,115928,117804,119343,120417
"Franklin County, AR","county",05000US05047,18063,17960,17866,17799
"Fulton County, AR","county",05000US05049,12266,12218,12224,12186
"Garland County, AR","county",05000US05051,96547,96804,96954,97119
"Grant County, AR","county",05000US05053,17922,18014,18054,18046
"Greene County, AR","county",05000US05055,42580,42970,43382,43745
"Hempstead County, AR","county",05000US05057,22509,22419,22336,22208
"Hot Spring County, AR","county",05000US05059,33182,33277,33316,33440
"Howard County, AR","county",05000US05061,13748,13685,13555,13487
"Independence County, AR","county",05000US05063,36786,36861,36952,37030
"Izard County, AR","county",05000US05065,13560,13522,13480,13461
"Jackson County, AR","county",05000US05067,17809,17746,17597,17495
"Jefferson County, AR","county",05000US05069,75782,74655,73548,72385
"Johnson County, AR","county",05000US05071,25655,25791,25930,26025
"Lafayette County, AR","county",05000US05073,7501,7391,7270,7127
"Lawrence County, AR","county",05000US05075,17227,17163,17029,16915
"Lee County, AR","county",05000US05077,10267,10151,9966,9781
"Lincoln County, AR","county",05000US05079,14148,14113,14062,13935
"Little River County, AR","county",05000US05081,12992,12852,12720,12616
"Logan County, AR","county",05000US05083,22221,22129,22001,21935
"Lonoke County, AR","county",05000US05085,69266,70118,70691,71279
"Madison County, AR","county",05000US05087,15671,15696,15702,15761
"Marion County, AR","county",05000US05089,16605,16534,16458,16404
"Miller County, AR","county",05000US05091,43515,43537,43652,43666
"Mississippi County, AR","county",05000US05093,45912,45385,44864,44199
"Monroe County, AR","county",05000US05095,8002,7855,7713,7542
"Montgomery County, AR","county",05000US05097,9387,9296,9197,9100
"Nevada County, AR","county",05000US05099,8948,8877,8793,8668
"Newton County, AR","county",05000US05101,8211,8131,8052,7988
"Ouachita County, AR","county",05000US05103,25651,25421,25044,24728
"Perry County, AR","county",05000US05105,10381,10350,10300,10246
"Phillips County, AR","county",05000US05107,21253,20847,20391,19929
"Pike County, AR","county",05000US05109,11250,11187,11087,11017
"Poinsett County, AR","county",05000US05111,24403,24359,24210,24131
"Polk County, AR","county",05000US05113,20540,20454,20364,20290
"Pope County, AR","county",05000US05115,62248,62687,62830,63107
"Prairie County, AR","county",05000US05117,8573,8475,8402,8334
"Pulaski County, AR","county",05000US05119,386106,388752,390463,391806
"Randolph County, AR","county",05000US05121,17896,17794,17695,17584
"St. Francis County, AR","county",05000US05123,27914,27642,27345,27023
"Saline County, AR","county",05000US05125,109844,111811,113833,115577
"Scott County, AR","county",05000US05127,11111,11024,10870,10661
"Searcy County, AR","county",05000US05129,8101,8036,7965,7938
"Sebastian County, AR","county",05000US05131,126536,126801,127273,127351
"Sevier County, AR","county",05000US05133,17137,17250,17268,17193
"Sharp County, AR","county",05000US05135,17203,17117,17055,17027
"Stone County, AR","county",05000US05137,12517,12531,12512,12503
"Union County, AR","county",05000US05139,41307,40954,40633,40334
"Van Buren County, AR","county",05000US05141,17147,17090,17002,16892
"Washington County, AR","county",05000US05143,207911,212238,216432,219930
"White County, AR","county",05000US05145,77767,78275,78660,78823
"Woodruff County, AR","county",05000US05147,7180,7094,6983,6873
"Yell County, AR","county",05000US05149,22014,21934,21835,21716
"Alameda County, CA","county",05000US06001,1535248,1559308,1584983,1605217
"Alpine County, CA","county",05000US06003,1165,1202,1131,1184
"Amador County, CA","county",05000US06005,37422,37159,36995,36963
"Butte County, CA","county",05000US06007,220542,221578,222564,223877
"Calaveras County, CA","county",05000US06009,45147,44921,44767,44787
"Colusa County, CA","county",05000US06011,21366,21424,21396,21361
"Contra Costa County, CA","county",05000US06013,1065794,1081232,1096068,1107925
"Del Norte County, CA","county",05000US06015,28357,28066,27788,27628
"El Dorado County, CA","county",05000US06017,180982,181465,182093,183000
"Fresno County, CA","county",05000US06019,939605,948844,956749,963160
"Glenn County, CA","county",05000US06021,28054,28019,28029,27976
"Humboldt County, CA","county",05000US06023,134613,134876,135034,135182
"Imperial County, CA","county",05000US06025,175201,177026,178206,178807
"Inyo County, CA","county",05000US06027,18482,18439,18373,18326
"Kern County, CA","county",05000US06029,848204,857730,865736,871337
"Kings County, CA","county",05000US06031,151806,151390,150998,150261
"Lake County, CA","county",05000US06033,64260,64209,64158,64076
"Lassen County, CA","county",05000US06035,34018,33356,32645,31945
"Los Angeles County, CA","county",05000US06037,9893481,9974203,10038388,10057155
"Madera County, CA","county",05000US06039,151435,152452,153187,153366
"Marin County, CA","county",05000US06041,254643,256802,258349,259358
"Mariposa County, CA","county",05000US06043,18061,17946,17789,17645
"Mendocino County, CA","county",05000US06045,87497,87612,87544,87409
"Merced County, CA","county",05000US06047,258707,261609,263885,265001
"Modoc County, CA","county",05000US06049,9468,9335,9184,9033
"Mono County, CA","county",05000US06051,14217,14193,14146,14051
"Monterey County, CA","county",05000US06053,420569,424927,428441,430201
"Napa County, CA","county",05000US06055,137837,139253,140295,140823
"Nevada County, CA","county",05000US06057,98509,98606,98570,98639
"Orange County, CA","county",05000US06059,3051771,3086331,3116069,3132211
"Placer County, CA","county",05000US06061,355924,361518,366280,370571
"Plumas County, CA","county",05000US06063,19586,19286,18966,18754
"Riverside County, CA","county",05000US06065,2228528,2266899,2298032,2323892
"Sacramento County, CA","county",05000US06067,1435207,1450277,1465832,1479300
"San Benito County, CA","county",05000US06069,56115,56888,57557,58051
"San Bernardino County, CA","county",05000US06071,2056915,2078586,2094769,2106754
"San Diego County, CA","county",05000US06073,3138265,3183143,3223096,3253356
"San Francisco County, CA","county",05000US06075,817501,829072,840763,850282
"San Joaquin County, CA","county",05000US06077,693177,701050,708554,714860
"San Luis Obispo County, CA","county",05000US06079,272094,274184,276517,278680
"San Mateo County, CA","county",05000US06081,729543,739837,748731,754748
"Santa Barbara County, CA","county",05000US06083,427288,431555,435850,439395
"Santa Clara County, CA","county",05000US06085,1812208,1841569,1868149,1885056
"Santa Cruz County, CA","county",05000US06087,264808,267203,269278,270931
"Shasta County, CA","county",05000US06089,177966,178520,178942,179228
"Sierra County, CA","county",05000US06091,3127,3019,3021,2931
"Siskiyou County, CA","county",05000US06093,44503,44261,43895,43668
"Solano County, CA","county",05000US06095,417258,421624,425753,429596
"Sonoma County, CA","county",05000US06097,487469,491790,495078,497776
"Stanislaus County, CA","county",05000US06099,518321,522794,527367,530561
"Sutter County, CA","county",05000US06101,94787,95067,95247,95406
"Tehama County, CA","county",05000US06103,63241,63284,63152,63015
"Trinity County, CA","county",05000US06105,13638,13515,13373,13180
"Tulare County, CA","county",05000US06107,446644,451108,454033,455769
"Tuolumne County, CA","county",05000US06109,54728,54347,54079,53864
"Ventura County, CA","county",05000US06111,829017,835790,840833,843110
"Yolo County, CA","county",05000US06113,202288,204162,207320,209671
"Yuba County, CA","county",05000US06115,72574,73059,73437,73897
"Adams County, CO","county",05000US08001,452030,461558,471206,479977
"Alamosa County, CO","county",05000US08003,15933,16111,16269,16353
"Arapahoe County, CO","county",05000US08005,585333,596684,608310,617668
"Archuleta County, CO","county",05000US08007,12109,12132,12174,12355
"Baca County, CO","county",05000US08009,3761,3735,3701,3648
"Bent County, CO","county",05000US08011,6141,6000,5895,5816
"Boulder County, CO","county",05000US08013,301072,305166,310032,313961
"Broomfield County, CO","county",05000US08014,57171,59027,60699,62449
"Chaffee County, CO","county",05000US08015,18063,18121,18309,18507
"Cheyenne County, CO","county",05000US08017,2189,2153,2002,2071
"Clear Creek County, CO","county",05000US08019,9048,9114,9136,9238
"Conejos County, CO","county",05000US08021,8256,8276,8249,8213
"Costilla County, CO","county",05000US08023,3552,3578,3581,3590
"Crowley County, CO","county",05000US08025,5629,5558,5551,5537
"Custer County, CO","county",05000US08027,4245,4274,4303,4375
"Delta County, CO","county",05000US08029,30659,30378,30214,30221
"Denver County, CO","county",05000US08031,619297,633777,649654,663303
"Dolores County, CO","county",05000US08033,1709,1736,1862,1789
"Douglas County, CO","county",05000US08035,293014,299794,306974,314238
"Eagle County, CO","county",05000US08037,52151,52233,52576,52894
"Elbert County, CO","county",05000US08039,23295,23545,23855,24225
"El Paso County, CO","county",05000US08041,634423,645707,655024,665171
"Fremont County, CO","county",05000US08043,46850,46879,46809,46835
"Garfield County, CO","county",05000US08045,56687,56684,57076,57495
"Gilpin County, CO","county",05000US08047,5477,5557,5605,5708
"Grand County, CO","county",05000US08049,14535,14478,14411,14490
"Gunnison County, CO","county",05000US08051,15421,15503,15651,15889
"Hinsdale County, CO","county",05000US08053,809,871,874,856
"Huerfano County, CO","county",05000US08055,6625,6550,6502,6521
"Jackson County, CO","county",05000US08057,1371,1389,1335,1306
"Jefferson County, CO","county",05000US08059,540669,546162,552344,558810
"Kiowa County, CO","county",05000US08061,1423,1407,1463,1465
"Kit Carson County, CO","county",05000US08063,8189,8122,7980,8174
"Lake County, CO","county",05000US08065,7332,7311,7362,7401
